name,source_id,mass_msun,prot_days,parallax,bp_rp,ebpminrp_gspphot,ruwe,flag_high_ruwe,bprp0,binary_type
TIC 22819180,1500827225817637504,0.18,0.617,42.350579611406,3.1930113,0.0,1.4539708,True,3.1930113,MM
TIC 22819191,1500826882220275712,0.14,0.787,42.3239823324059,3.4788618,,1.4430013,True,3.4788618,MM
TIC 197569385,6586289025083317376,0.17,0.443,23.75630660466512,3.0603666,0.0027,1.0654002,False,3.0576665,MM
TIC 197570145,6586283493165510272,0.15,0.585,23.64769168263722,3.1940498,,1.113432,False,3.1940498,MM
TIC 37664980,2443287533259504640,0.27,1.729,28.30725861023992,2.945094,0.0005,1.1549664,False,2.9445941,MM
TIC 37664990,2443300108923745408,0.23,1.562,28.25865027585999,3.0753622,,1.1173128,False,3.0753622,MM
TIC 206617113,4910034311033268480,0.22,0.49,28.8023016307859,2.953927,0.0,1.1760747,False,2.953927,MM
TIC 206617096,4910041870175701120,0.2,1.041,28.768932935166607,3.018608,0.0006,1.3075144,False,3.018008,MM
TIC 43734215,4500735468299667072,0.5,1.201,28.58214238315958,2.68746,0.0008,1.2820605,False,2.68666,MM
TIC 43789224,4500722037941674496,0.26,0.287,28.802186329224163,3.1778097,,1.2352464,False,3.1778097,MM
TIC 84731806,2033828956446083584,0.31,1.993,30.26646287509402,2.7313128,0.0108,1.206802,False,2.7205129,MM
TIC 84731362,2033830811871995136,0.3,3.034,30.200745823433703,2.8355331,0.0001,1.2175287,False,2.8354332,MM
TIC 450297524,811471054819228288,0.53,22.0,25.604529029176323,2.2214746,,1.3131323,False,2.2214746,MM
TIC 416857959,811471192258182144,0.5,17.0,25.627100142151708,2.3785343,0.0011,1.3591689,False,2.3774343,MM
LP 68-239,1641500667620665088,0.43,2.207,25.69386578247272,2.731842,0.0,1.4779423,True,2.731842,MM
2MASS J15421300+6537051,1641502179449156096,0.42,0.617,25.690623364969323,2.888956,0.0937,1.1374726,False,2.7952561,MM
LHS 1377,4971681351020953088,0.4,11.019,74.57353168617364,2.6763525,0.0001,1.5152423,True,2.6762526,MM
LHS 1376,4971869092631523200,0.27,3.023,74.63845724853431,2.9098177,0.0003,1.5084537,True,2.9095178,MM
2MASS J21005492-4131438,6773423224070637952,0.27,8.95,53.35361701891157,2.8340225,,1.1720746,False,2.8340225,MM
2MASS J21010380-4114331,6773453838597541760,0.2,1.059,53.26757820617179,2.9830103,,1.5659926,True,2.9830103,MM
G 115-68,811947078931179264,0.21,0.748,51.736767906469005,3.0485802,0.0003,1.3002204,False,3.0482802,MM
G 115-69,811947108994206976,0.2,0.854,51.72688058788411,3.0823278,,1.2603511,False,3.0823278,MM
LP 167-64,830705262697930240,0.41,57.66,41.26924711164329,2.5925827,0.0001,1.450303,True,2.5924828,MM
LP 167-63,830705297057680640,0.14,0.995,41.199463139231554,3.416315,,1.2029525,False,3.416315,MM
LP 613-49,3795993633527490560,0.36,11.76,53.13605503515882,2.8778238,0.0,1.3083901,False,2.8778238,MM
LP 613-50,3795993633527490304,0.12,1.66,53.01830200857152,3.806594,,1.1747273,False,3.806594,MM
G 116-72,808270896163474176,0.36,0.755,36.74719130705888,2.7466888,0.0,1.298905,False,2.7466888,MM
G 116-73,808270896163473920,0.33,0.974,36.7225166030608,2.8237638,,1.3086237,False,2.8237638,MM
GJ 669 A,4574048021719710848,0.44,20.51,92.98565081391038,2.680606,0.0,1.4012246,True,2.680606,MM
GJ 669 B,4574048021719712640,0.28,1.457,92.95830529602016,3.128108,,1.3778402,False,3.128108,MM
LHS 3808,2703757302393547392,0.33,94.0,42.64193087409584,2.7548304,,1.3250543,False,2.7548304,MM
LHS 3809,2703757298483054848,0.14,1.569,42.61184024700958,3.5394697,,1.1299324,False,3.5394697,MM
GJ 49,522863309964987520,0.59,19.0,101.42379529598418,2.1754298,0.0,1.0359348,False,2.1754298,MM
GJ 51,522864272041351296,0.2,1.024,101.37235858535028,3.305438,,1.0717231,False,3.305438,MM
