name,source_id,role,binary_type,mass_msun,prot_days,parallax,bp_rp,ebpminrp_gspphot,ruwe,flag_high_ruwe,bprp0
SCR J1107-3420 B,5401688460176652544,primary,WDM,0.26,7.611,,3.1353073120117188,,,False,3.1353073120117188
SCR J1107-3420 A,5401688425816913920,companion,WDM,,,38.1949865948946,-0.085270881652832,,1.053646683692932,False,-0.085270881652832
LHS 2928,6272325816233230848,primary,WDM,0.25,126.233,30.928890319778873,2.8938770294189453,,5.506028652191162,True,2.8938770294189453
LHS 2927,6272326022391660928,companion,WDM,,,30.706253163826453,1.1568183898925781,,1.0461807250976562,False,1.1568183898925781
2MASS J23095781+5506472,1996725077535282944,primary,WDM,0.14,104.1,60.92132302167948,3.527838706970215,0.0013999999500811,1.1729120016098022,False,3.5264387070201337
2MASS J23095848+5506491,1996725077535283200,companion,WDM,,,60.89459838316985,0.900766372680664,,1.0342177152633667,False,0.900766372680664
G 68-34,2826254717479033344,primary,WDM,0.46,0.655,25.401530455000312,2.789584159851074,0.0020000000949949,1.4338939189910889,True,2.78758415975608
LP 463-28,2826254713186397440,companion,WDM,,,25.366648545801482,1.0112171173095703,,1.0447298288345337,False,1.0112171173095703
GJ 1179 B,1251824057289839744,primary,WDM,0.12,,84.31052432709014,1.268906593322754,,1.013633131980896,False,1.268906593322754
GJ 1179 A,1251824607045654016,companion,WDM,,,84.2246337028907,3.5297508239746094,,1.209258794784546,False,3.5297508239746094
GJ 283 B,5717278911884264576,primary,WDM,0.1,,109.25448246098924,4.379336357116699,,1.0867007970809937,False,4.379336357116699
GJ 283 A,5717278911884258176,companion,WDM,,,109.34396565048813,0.34171199798583984,,1.0221840143203735,False,0.34171199798583984
GJ 754.1 B,4201781696994082944,primary,WDM,0.26,,95.1783951524141,2.5618934631347656,0.0,1.169581651687622,False,2.5618934631347656
GJ 754.1 A,4201781696994073472,companion,WDM,,,95.17577811152344,0.0367889404296875,,1.0114262104034424,False,0.0367889404296875
GJ 166 C,3195919254111314816,primary,WDM,0.24,,199.45161859738874,2.989675521850586,,1.5311920642852783,True,2.989675521850586
GJ 166 B,3195919254111315712,companion,WDM,,,199.6910732720413,-0.19100379943847656,,1.195352554321289,False,-0.19100379943847656
GJ 169.1 B,470826482637310848,primary,WDM,0.31,,181.2730074917688,0.4422998428344726,,0.926382064819336,False,0.4422998428344726
GJ 169.1 A,470826482637310080,companion,WDM,,,181.2438390124341,2.895882606506348,,1.2182512283325195,False,2.895882606506348
